datetime,temperature,humidity,wind_speed,ca_tot
2024-06-01 00:00:00,16.8,88.0,1.6,10
2024-06-01 01:00:00,16.5,92.0,2.0,10
2024-06-01 02:00:00,16.8,91.0,2.2,10
2024-06-01 03:00:00,16.5,90.0,1.5,10
2024-06-01 04:00:00,16.4,90.0,1.9,10
2024-06-01 05:00:00,16.1,90.0,2.2,9
2024-06-01 06:00:00,16.2,91.0,1.8,10
2024-06-01 07:00:00,16.4,91.0,1.9,9
2024-06-01 08:00:00,17.9,83.0,1.6,9
2024-06-01 09:00:00,19.6,74.0,2.1,7
2024-06-01 10:00:00,20.1,67.0,3.2,4
2024-06-01 11:00:00,21.5,60.0,2.8,4
2024-06-01 12:00:00,21.8,56.0,3.5,2
2024-06-01 13:00:00,22.6,50.0,4.0,3
2024-06-01 14:00:00,22.7,46.0,4.9,1
2024-06-01 15:00:00,23.8,44.0,4.4,1
2024-06-01 16:00:00,23.0,41.0,5.2,1
2024-06-01 17:00:00,22.1,47.0,4.3,0
2024-06-01 18:00:00,21.6,49.0,3.4,0
2024-06-01 19:00:00,19.8,54.0,3.8,0
2024-06-01 20:00:00,18.1,63.0,2.8,0
2024-06-01 21:00:00,17.3,70.0,2.2,1
2024-06-01 22:00:00,16.7,75.0,1.2,0
2024-06-01 23:00:00,15.8,81.0,0.3,0
2024-06-02 00:00:00,15.1,86.0,0.9,2
2024-06-02 01:00:00,15.0,86.0,0.8,0
2024-06-02 02:00:00,14.5,88.0,1.4,0
2024-06-02 03:00:00,14.9,84.0,1.5,0
2024-06-02 04:00:00,14.0,85.0,0.6,0
2024-06-02 05:00:00,12.9,89.0,0.8,0
2024-06-02 06:00:00,13.8,90.0,0.7,0
2024-06-02 07:00:00,16.4,80.0,0.5,0
2024-06-02 08:00:00,18.2,72.0,0.8,0
2024-06-02 09:00:00,20.0,56.0,1.4,0
2024-06-02 10:00:00,21.3,48.0,2.5,0
2024-06-02 11:00:00,22.7,46.0,1.8,0
2024-06-02 12:00:00,24.1,36.0,3.6,2
2024-06-02 13:00:00,24.5,42.0,3.7,3
2024-06-02 14:00:00,24.7,39.0,3.9,2
2024-06-02 15:00:00,24.3,40.0,4.6,3
2024-06-02 16:00:00,24.3,38.0,4.0,2
2024-06-02 17:00:00,24.1,41.0,3.6,6
2024-06-02 18:00:00,22.9,44.0,3.1,3
2024-06-02 19:00:00,22.0,46.0,3.2,0
2024-06-02 20:00:00,19.5,56.0,2.4,0
2024-06-02 21:00:00,18.2,58.0,0.7,0
2024-06-02 22:00:00,17.5,60.0,1.4,0
2024-06-02 23:00:00,16.5,65.0,0.9,0
2024-06-03 00:00:00,15.3,68.0,1.1,0
2024-06-03 01:00:00,14.9,67.0,0.0,0
2024-06-03 02:00:00,14.4,74.0,0.9,0
2024-06-03 03:00:00,13.7,82.0,1.1,0
2024-06-03 04:00:00,13.4,84.0,0.2,0
2024-06-03 05:00:00,13.1,86.0,0.4,0
2024-06-03 06:00:00,13.7,83.0,0.8,0
2024-06-03 07:00:00,18.0,68.0,2.4,0
2024-06-03 08:00:00,19.7,62.0,2.6,0
2024-06-03 09:00:00,21.1,57.0,2.3,0
2024-06-03 11:00:00,23.5,43.0,3.0,2
2024-06-03 12:00:00,24.2,34.0,2.6,2
2024-06-03 13:00:00,25.4,34.0,2.5,3
2024-06-03 14:00:00,26.0,30.0,2.2,2
2024-06-03 15:00:00,26.7,29.0,3.4,3
2024-06-03 16:00:00,26.9,29.0,2.3,4
2024-06-03 17:00:00,26.5,30.0,2.9,4
2024-06-03 18:00:00,26.4,30.0,2.1,2
2024-06-03 19:00:00,24.1,46.0,2.3,0
2024-06-03 20:00:00,22.0,53.0,1.5,4
2024-06-03 21:00:00,20.5,57.0,1.2,1
2024-06-03 22:00:00,19.2,62.0,0.8,0
2024-06-03 23:00:00,20.8,34.0,2.8,0
2024-06-04 00:00:00,20.7,33.0,2.6,0
2024-06-04 01:00:00,20.0,32.0,2.5,0
2024-06-04 02:00:00,19.5,33.0,2.3,0
2024-06-04 03:00:00,18.4,36.0,2.0,0
2024-06-04 04:00:00,17.4,39.0,1.0,0
2024-06-04 05:00:00,15.1,51.0,1.1,0
2024-06-04 06:00:00,15.3,52.0,1.0,0
2024-06-04 07:00:00,19.5,40.0,1.3,0
2024-06-04 08:00:00,20.9,37.0,2.2,0
2024-06-04 09:00:00,22.3,38.0,2.4,0
2024-06-04 10:00:00,22.9,32.0,2.6,0
2024-06-04 11:00:00,24.2,30.0,2.3,0
2024-06-04 12:00:00,24.9,29.0,1.9,0
2024-06-04 13:00:00,26.1,29.0,2.5,0
2024-06-04 14:00:00,27.3,27.0,3.0,0
2024-06-04 15:00:00,27.5,32.0,3.8,0
2024-06-04 16:00:00,26.8,31.0,4.0,0
2024-06-04 17:00:00,26.1,34.0,3.3,0
2024-06-04 18:00:00,25.1,33.0,3.3,0
2024-06-04 19:00:00,24.0,33.0,2.3,0
